rank,gid,role,priority_score,why
1,100000003684369100,distributor,0.9725,"distributor; основные вклады: authority_score=0.000941, вклад 0.187; in_deg=24, вклад 0.180; out_deg=62, вклад 0.179; множитель 1.00; приоритет 0.9725. Гипотеза для проверки, не вывод о виновности."
2,100000003115284100,coordinator,0.9577,"coordinator; основные вклады: authority_score=0.01797, вклад 0.200; in_deg=8, вклад 0.179; pagerank=0.001516, вклад 0.156; множитель 1.00; приоритет 0.9577. Гипотеза для проверки, не вывод о виновности."
3,100000008165763100,coordinator,0.9502,"coordinator; основные вклады: in_deg=15, вклад 0.180; out_deg=17, вклад 0.177; authority_score=0.0003543, вклад 0.174; множитель 1.00; приоритет 0.9502. Гипотеза для проверки, не вывод о виновности."
4,100000005074393100,coordinator,0.9446,"coordinator; основные вклады: authority_score=0.0009659, вклад 0.187; in_deg=4, вклад 0.174; out_deg=6, вклад 0.172; множитель 1.00; приоритет 0.9446. Гипотеза для проверки, не вывод о виновности."
5,100000008603629100,coordinator,0.9208,"coordinator; основные вклады: authority_score=0.0006738, вклад 0.183; in_deg=19, вклад 0.180; out_deg=61, вклад 0.179; множитель 1.00; приоритет 0.9208. Гипотеза для проверки, не вывод о виновности."
6,100000006274203100,coordinator,0.9163,"coordinator; основные вклады: authority_score=0.00413, вклад 0.193; out_deg=3, вклад 0.164; in_deg=2, вклад 0.154; множитель 1.00; приоритет 0.9163. Гипотеза для проверки, не вывод о виновности."
7,100000004299488100,coordinator,0.9119,"coordinator; основные вклады: authority_score=0.01444, вклад 0.199; in_deg=6, вклад 0.178; hub_score=0.00838, вклад 0.159; множитель 1.00; приоритет 0.9119. Гипотеза для проверки, не вывод о виновности."
8,100000007908818100,coordinator,0.9089,"coordinator; основные вклады: authority_score=0.00187, вклад 0.190; in_deg=4, вклад 0.174; out_deg=6, вклад 0.172; множитель 1.00; приоритет 0.9089. Гипотеза для проверки, не вывод о виновности."
9,100000001857829100,coordinator,0.9068,"coordinator; основные вклады: authority_score=0.0007905, вклад 0.185; in_deg=6, вклад 0.178; out_deg=16, вклад 0.177; множитель 1.00; приоритет 0.9068. Гипотеза для проверки, не вывод о виновности."
10,100000000331309100,coordinator,0.9058,"coordinator; основные вклады: out_deg=99, вклад 0.180; in_deg=5, вклад 0.177; authority_score=0.0003745, вклад 0.174; множитель 1.00; приоритет 0.9058. Гипотеза для проверки, не вывод о виновности."
11,100000008477350100,coordinator,0.9058,"coordinator; основные вклады: in_deg=11, вклад 0.180; out_deg=39, вклад 0.179; authority_score=0.000275, вклад 0.170; множитель 1.00; приоритет 0.9058. Гипотеза для проверки, не вывод о виновности."
12,100000007442518100,coordinator,0.899,"coordinator; основные вклады: authority_score=0.001453, вклад 0.189; in_deg=5, вклад 0.177; out_deg=9, вклад 0.175; множитель 1.00; приоритет 0.8990. Гипотеза для проверки, не вывод о виновности."
13,100000007055802100,consolidator,0.8928,"consolidator; основные вклады: authority_score=0.01763, вклад 0.200; in_deg=6, вклад 0.178; hub_score=0.01173, вклад 0.159; множитель 1.00; приоритет 0.8928. Гипотеза для проверки, не вывод о виновности."
14,100000004071080100,coordinator,0.8906,"coordinator; основные вклады: authority_score=0.001281, вклад 0.188; in_deg=9, вклад 0.179; out_deg=2, вклад 0.155; множитель 1.00; приоритет 0.8906. Гипотеза для проверки, не вывод о виновности."
15,100000008686313100,coordinator,0.8906,"coordinator; основные вклады: authority_score=0.01665, вклад 0.199; in_deg=6, вклад 0.178; out_deg=7, вклад 0.173; множитель 1.00; приоритет 0.8906. Гипотеза для проверки, не вывод о виновности."
16,100000000437046100,coordinator,0.8873,"coordinator; основные вклады: out_deg=42, вклад 0.179; in_deg=9, вклад 0.179; hub_score=0.09847, вклад 0.160; множитель 1.00; приоритет 0.8873. Гипотеза для проверки, не вывод о виновности."
17,100000004403675100,coordinator,0.8864,"coordinator; основные вклады: authority_score=0.0004409, вклад 0.177; in_deg=4, вклад 0.174; out_deg=5, вклад 0.170; множитель 1.00; приоритет 0.8864. Гипотеза для проверки, не вывод о виновности."
18,100000007594394100,consolidator,0.8861,"consolidator; основные вклады: authority_score=0.001685, вклад 0.190; in_deg=6, вклад 0.178; hub_score=0.007921, вклад 0.159; множитель 1.00; приоритет 0.8861. Гипотеза для проверки, не вывод о виновности."
19,100000003635170100,coordinator,0.8849,"coordinator; основные вклады: in_deg=3, вклад 0.168; out_deg=4, вклад 0.168; authority_score=0.0001747, вклад 0.164; множитель 1.00; приоритет 0.8849. Гипотеза для проверки, не вывод о виновности."
20,100000004759121100,coordinator,0.8838,"coordinator; основные вклады: authority_score=0.01114, вклад 0.198; in_deg=6, вклад 0.178; out_deg=2, вклад 0.155; множитель 1.00; приоритет 0.8838. Гипотеза для проверки, не вывод о виновности."
21,100000001899164100,coordinator,0.8803,"coordinator; основные вклады: in_deg=4, вклад 0.174; out_deg=3, вклад 0.164; authority_score=0.0001608, вклад 0.163; множитель 1.00; приоритет 0.8803. Гипотеза для проверки, не вывод о виновности."
22,100000004015047100,consolidator,0.8802,"consolidator; основные вклады: in_deg=9, вклад 0.179; pagerank=0.002257, вклад 0.158; authority_score=1.462e-05, вклад 0.146; множитель 1.00; приоритет 0.8802. Гипотеза для проверки, не вывод о виновности."
23,100000006889963100,consolidator,0.8796,"consolidator; основные вклады: authority_score=0.01736, вклад 0.200; in_deg=4, вклад 0.174; out_deg=1, вклад 0.137; множитель 1.00; приоритет 0.8796. Гипотеза для проверки, не вывод о виновности."
24,100000000661912100,coordinator,0.8767,"coordinator; основные вклады: authority_score=0.001617, вклад 0.190; in_deg=5, вклад 0.177; pagerank=0.001793, вклад 0.157; множитель 1.00; приоритет 0.8767. Гипотеза для проверки, не вывод о виновности."
25,100000002398779100,consolidator,0.876,"consolidator; основные вклады: in_deg=13, вклад 0.180; authority_score=7.283e-05, вклад 0.157; pagerank=0.00159, вклад 0.156; множитель 1.00; приоритет 0.8760. Гипотеза для проверки, не вывод о виновности."
26,100000008730846100,coordinator,0.8756,"coordinator; основные вклады: in_deg=7, вклад 0.178; out_deg=3, вклад 0.164; hub_score=0.008126, вклад 0.159; множитель 1.00; приоритет 0.8756. Гипотеза для проверки, не вывод о виновности."
27,100000003701161100,coordinator,0.8748,"coordinator; основные вклады: in_deg=4, вклад 0.174; authority_score=0.0002521, вклад 0.169; out_deg=3, вклад 0.164; множитель 1.00; приоритет 0.8748. Гипотеза для проверки, не вывод о виновности."
28,100000002741024100,coordinator,0.8734,"coordinator; основные вклады: in_deg=5, вклад 0.177; out_deg=6, вклад 0.172; pagerank=0.002921, вклад 0.159; множитель 1.00; приоритет 0.8734. Гипотеза для проверки, не вывод о виновности."
29,100000000343175100,distributor,0.8715,"distributor; основные вклады: in_deg=8, вклад 0.179; out_deg=31, вклад 0.179; hub_score=0.02814, вклад 0.160; множитель 1.00; приоритет 0.8715. Гипотеза для проверки, не вывод о виновности."
30,100000008489922100,coordinator,0.8697,"coordinator; основные вклады: out_deg=36, вклад 0.179; in_deg=3, вклад 0.168; hub_score=1.74e-05, вклад 0.150; множитель 1.00; приоритет 0.8697. Гипотеза для проверки, не вывод о виновности."
31,100000004180097100,coordinator,0.8692,"coordinator; основные вклады: authority_score=0.0005585, вклад 0.181; in_deg=3, вклад 0.168; out_deg=3, вклад 0.164; множитель 1.00; приоритет 0.8692. Гипотеза для проверки, не вывод о виновности."
32,100000004076740100,coordinator,0.8686,"coordinator; основные вклады: authority_score=0.0004336, вклад 0.176; out_deg=6, вклад 0.172; in_deg=3, вклад 0.168; множитель 1.00; приоритет 0.8686. Гипотеза для проверки, не вывод о виновности."
33,100000001530983100,coordinator,0.8675,"coordinator; основные вклады: authority_score=0.006352, вклад 0.195; out_deg=11, вклад 0.176; in_deg=4, вклад 0.174; множитель 1.00; приоритет 0.8675. Гипотеза для проверки, не вывод о виновности."
34,100000005339662100,coordinator,0.8645,"coordinator; основные вклады: in_deg=4, вклад 0.174; out_deg=4, вклад 0.168; pagerank=0.001655, вклад 0.156; множитель 1.00; приоритет 0.8645. Гипотеза для проверки, не вывод о виновности."
35,100000006734214100,coordinator,0.8643,"coordinator; основные вклады: authority_score=0.01055, вклад 0.198; in_deg=5, вклад 0.177; out_deg=3, вклад 0.164; множитель 1.00; приоритет 0.8643. Гипотеза для проверки, не вывод о виновности."
36,100000005140601100,coordinator,0.8638,"coordinator; основные вклады: in_deg=3, вклад 0.168; authority_score=0.0001545, вклад 0.163; pagerank=0.002837, вклад 0.159; множитель 1.00; приоритет 0.8638. Гипотеза для проверки, не вывод о виновности."
37,100000006866783100,distributor,0.8633,"distributor; основные вклады: in_deg=13, вклад 0.180; out_deg=67, вклад 0.180; hub_score=0.05178, вклад 0.160; множитель 1.00; приоритет 0.8633. Гипотеза для проверки, не вывод о виновности."
38,100000002957787100,coordinator,0.8631,"coordinator; основные вклады: out_deg=34, вклад 0.179; in_deg=4, вклад 0.174; hub_score=0.008964, вклад 0.159; множитель 1.00; приоритет 0.8631. Гипотеза для проверки, не вывод о виновности."
39,100000000332284100,coordinator,0.8613,"coordinator; основные вклады: in_deg=10, вклад 0.179; out_deg=3, вклад 0.164; hub_score=0.006896, вклад 0.159; множитель 1.00; приоритет 0.8613. Гипотеза для проверки, не вывод о виновности."
40,100000008346837100,coordinator,0.8611,"coordinator; основные вклады: in_deg=9, вклад 0.179; out_deg=25, вклад 0.178; hub_score=0.002436, вклад 0.158; множитель 1.00; приоритет 0.8611. Гипотеза для проверки, не вывод о виновности."
41,100000001616816100,peripheral,0.8607,"peripheral; основные вклады: in_deg=5, вклад 0.177; out_deg=3, вклад 0.164; pagerank=0.002412, вклад 0.159; множитель 1.00; приоритет 0.8607. Гипотеза для проверки, не вывод о виновности."
42,100000003834495100,consolidator,0.8604,"consolidator; основные вклады: authority_score=0.002859, вклад 0.191; in_deg=3, вклад 0.168; hub_score=0.0003998, вклад 0.156; множитель 1.00; приоритет 0.8604. Гипотеза для проверки, не вывод о виновности."
43,100000005910114100,coordinator,0.8604,"coordinator; основные вклады: authority_score=0.00126, вклад 0.188; out_deg=19, вклад 0.178; in_deg=3, вклад 0.168; множитель 1.00; приоритет 0.8604. Гипотеза для проверки, не вывод о виновности."
44,100000008637537100,peripheral,0.8604,"peripheral; основные вклады: in_deg=3, вклад 0.168; out_deg=3, вклад 0.164; pagerank=0.000822, вклад 0.149; множитель 1.00; приоритет 0.8604. Гипотеза для проверки, не вывод о виновности."
45,100000003528285100,coordinator,0.859,"coordinator; основные вклады: authority_score=0.0005912, вклад 0.182; in_deg=4, вклад 0.174; out_deg=4, вклад 0.168; множитель 1.00; приоритет 0.8590. Гипотеза для проверки, не вывод о виновности."
46,100000004159526100,coordinator,0.8574,"coordinator; основные вклады: in_deg=4, вклад 0.174; out_deg=4, вклад 0.168; pagerank=0.0008469, вклад 0.150; множитель 1.00; приоритет 0.8574. Гипотеза для проверки, не вывод о виновности."
47,100000005527892100,coordinator,0.8568,"coordinator; основные вклады: authority_score=0.00319, вклад 0.192; out_deg=8, вклад 0.174; in_deg=3, вклад 0.168; множитель 1.00; приоритет 0.8568. Гипотеза для проверки, не вывод о виновности."
48,100000008324800100,consolidator,0.8563,"consolidator; основные вклады: authority_score=0.005941, вклад 0.194; in_deg=3, вклад 0.168; pagerank=0.001946, вклад 0.157; множитель 1.00; приоритет 0.8563. Гипотеза для проверки, не вывод о виновности."
49,100000004400305100,coordinator,0.856,"coordinator; основные вклады: out_deg=82, вклад 0.180; in_deg=7, вклад 0.178; authority_score=0.0001662, вклад 0.164; множитель 1.00; приоритет 0.8560. Гипотеза для проверки, не вывод о виновности."
50,100000003741418100,coordinator,0.8542,"coordinator; основные вклады: in_deg=9, вклад 0.179; out_deg=3, вклад 0.164; hub_score=0.001577, вклад 0.158; множитель 1.00; приоритет 0.8542. Гипотеза для проверки, не вывод о виновности."
